,gender,international,gpa,gmat,work_exp,admission,major_0,major_1,major_2,race_-1,race_0,race_1,race_2,race_3,race_4,work_industry_0,work_industry_1,work_industry_2,work_industry_3,work_industry_4,work_industry_5,work_industry_6,work_industry_7,work_industry_8,work_industry_9,work_industry_10,work_industry_11,work_industry_12,work_industry_13
0,0,0,0.8753315649867374,0.7948717948717948,0.3333333333333333,1,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1,1,0,0.870026525198939,0.8717948717948718,0.5555555555555556,0,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2,0,1,0.8753315649867374,0.9102564102564102,0.5555555555555556,1,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
3,1,0,0.9204244031830239,0.8846153846153846,0.6666666666666666,0,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
4,1,0,0.8885941644562334,0.7564102564102564,0.5555555555555556,0,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
5,1,0,0.843501326259947,0.782051282051282,0.6666666666666666,0,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
6,0,0,0.7771883289124669,0.7564102564102564,0.3333333333333333,1,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
7,1,1,0.8010610079575596,0.8076923076923077,0.6666666666666666,0,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
8,1,0,0.8594164456233422,0.7564102564102564,0.2222222222222222,0,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
9,1,0,0.8673740053050398,0.8846153846153846,0.3333333333333333,0,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
10,1,0,0.8090185676392573,0.7435897435897436,0.5555555555555556,0,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
11,1,1,0.7559681697612732,0.7435897435897436,0.4444444444444444,0,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
12,0,0,0.8992042440318303,0.8846153846153846,0.4444444444444444,0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
13,0,0,0.8037135278514588,0.7692307692307693,0.5555555555555556,1,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
14,0,1,0.8090185676392573,0.9102564102564102,0.4444444444444444,1,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
